stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
30212,,"Monroe-Red","",41.880745,-87.627696,0,41090,0
30213,,"35-Bronzeville-IIT","",41.831677,-87.625826,0,41120,1
30214,,"35-Bronzeville-IIT","",41.831677,-87.625826,0,41120,1
30215,,"Halsted-Orange","",41.84678,-87.648088,0,41130,1
30216,,"Halsted-Orange","",41.84678,-87.648088,0,41130,1
30217,,"King Drive","",41.78013,-87.615546,0,41140,1
30218,,"King Drive","",41.78013,-87.615546,0,41140,1
30219,,"Kedzie-Orange","",41.804236,-87.704406,0,41150,1
30220,,"Kedzie-Orange","",41.804236,-87.704406,0,41150,1
30221,,"Clinton-Green","",41.885678,-87.641782,0,41160,1
30222,,"Clinton-Green","",41.885678,-87.641782,0,41160,1
30223,,"Garfield-Red","",41.79542,-87.631157,0,41170,0
30224,,"Garfield-Red","",41.79542,-87.631157,0,41170,0
30225,,"Kedzie-Brown","",41.965996,-87.708821,0,41180,1
30226,,"Kedzie-Brown","",41.965996,-87.708821,0,41180,1
30227,,"Jarvis","",42.015876,-87.669092,0,41190,0
30228,,"Jarvis","",42.015876,-87.669092,0,41190,0
30229,,"Argyle","",41.973453,-87.65853,0,41200,0
30230,,"Argyle","",41.973453,-87.65853,0,41200,0
30231,,"Wellington","",41.936033,-87.653266,0,41210,1
30232,,"Wellington","",41.936033,-87.653266,0,41210,1
30233,,"Fullerton","",41.925051,-87.652866,0,41220,1
30234,,"Fullerton","",41.925051,-87.652866,0,41220,1
30235,,"Fullerton","",41.925051,-87.652866,0,41220,1
30236,,"Fullerton","",41.925051,-87.652866,0,41220,1
30237,,"47th-Red","",41.810318,-87.63094,0,41230,1
30238,,"47th-Red","",41.810318,-87.63094,0,41230,1
30239,,"Addison-Blue","",41.94738,-87.71906,0,41240,0
30240,,"Addison-Blue","",41.94738,-87.71906,0,41240,0
30241,,"Central-Purple","",42.063987,-87.685617,0,41250,0
30242,,"Central-Purple","",42.063987,-87.685617,0,41250,0
30243,,"Austin-Green","",41.887293,-87.774135,0,41260,0
30244,,"Austin-Green","",41.887293,-87.774135,0,41260,0
30245,,"43rd","",41.816462,-87.619021,0,41270,1
30246,,"43rd","",41.816462,-87.619021,0,41270,1
30247,,"Jefferson Park","",41.970634,-87.760892,0,41280,1
30248,,"Jefferson Park","",41.970634,-87.760892,0,41280,1
30249,,"Kimball","",41.967901,-87.713065,0,41290,1
30250,,"Kimball","",41.967901,-87.713065,0,41290,1
30251,,"Loyola","",42.001073,-87.661061,0,41300,1
30252,,"Loyola","",42.001073,-87.661061,0,41300,1
30253,,"Paulina","",41.943623,-87.670907,0,41310,1
30254,,"Paulina","",41.943623,-87.670907,0,41310,1
30255,,"Belmont","",41.939751,-87.65338,0,41320,1
30256,,"Belmont","",41.939751,-87.65338,0,41320,1
30257,,"Belmont","",41.939751,-87.65338,0,41320,1
30258,,"Belmont","",41.939751,-87.65338,0,41320,1
30259,,"Montrose-Blue","",41.961539,-87.743574,0,41330,0
30260,,"Montrose-Blue","",41.961539,-87.743574,0,41330,0
30261,,"LaSalle","",41.875568,-87.631722,0,41340,0
30262,,"LaSalle","",41.875568,-87.631722,0,41340,0
30263,,"Oak Park-Green","",41.886988,-87.793783,0,41350,0
30264,,"Oak Park-Green","",41.886988,-87.793783,0,41350,0
30265,,"California-Green","",41.88422,-87.696234,0,41360,1
30266,,"California-Green","",41.88422,-87.696234,0,41360,1
30267,,"Bryn Mawr","",41.983504,-87.65884,0,41380,0
30268,,"Bryn Mawr","",41.983504,-87.65884,0,41380,0
30269,,"Roosevelt (Subway)","",41.867368,-87.627402,0,41400,1
30270,,"Roosevelt (Subway)","",41.867368,-87.627402,0,41400,1
30271,,"Chicago-Blue","",41.896075,-87.655214,0,41410,0
30272,,"Chicago-Blue","",41.896075,-87.655214,0,41410,0
30273,,"Addison-Red","",41.947428,-87.653626,0,41420,1
30274,,"Addison-Red","",41.947428,-87.653626,0,41420,1
30275,,"87th","",41.735372,-87.624717,0,41430,0
30276,,"87th","",41.735372,-87.624717,0,41430,0
30277,,"Addison-Brown","",41.947028,-87.674642,0,41440,1
30278,,"Addison-Brown","",41.947028,-87.674642,0,41440,1
30279,,"Chicago-Red","",41.896671,-87.628176,0,41450,1
30280,,"Chicago-Red","",41.896671,-87.628176,0,41450,1
30281,,"Irving Park-Brown","",41.954521,-87.674868,0,41460,1
30282,,"Irving Park-Brown","",41.954521,-87.674868,0,41460,1
30283,,"Western-Brown","",41.966163,-87.688502,0,41480,1
30284,,"Western-Brown","",41.966163,-87.688502,0,41480,1
30285,,"Harrison","",41.874039,-87.627479,0,41490,0
30286,,"Harrison","",41.874039,-87.627479,0,41490,0
30287,,"Montrose-Brown","",41.961756,-87.675047,0,41500,1
30288,,"Montrose-Brown","",41.961756,-87.675047,0,41500,1
30289,,"Lake","",41.884809,-87.627813,0,41660,1
30290,,"Lake","",41.884809,-87.627813,0,41660,1
30291,,"Conservatory","",41.884904,-87.716523,0,41670,1
30292,,"Conservatory","",41.884904,-87.716523,0,41670,1
30294,,"Sheridan","",41.953775,-87.654929,0,40080,0
30295,,"Morgan","",41.88557676,-87.65212993,0,41510,1
30296,,"Morgan","",41.88557676,-87.65212993,0,41510,1
30297,,"Oakton-Skokie","",42.02624348,-87.74722084,0,41680,1
30298,,"Oakton-Skokie","",42.02624348,-87.74722084,0,41680,1
30374,,"Clark/Lake (Subway)","",41.885737,-87.630886,0,40380,1
30375,,"Clark/Lake (Subway)","",41.885737,-87.630886,0,40380,1
30381,,"Cermak-McCormick Place","",41.853115,-87.626402,0,41690,1
30382,,"Cermak-McCormick Place","",41.853115,-87.626402,0,41690,1
40010,,"Austin (Blue)","",41.870851,-87.776812,1,,0
40020,,"Harlem/Lake","",41.886848,-87.803176,1,,1
40030,,"Pulaski (Green)","",41.885412,-87.725404,1,,1
40040,,"Quincy/Wells","",41.878723,-87.63374,1,,0
40050,,"Davis","",42.04771,-87.683543,1,,1
40060,,"Belmont (Blue)","",41.9391107041,-87.71225212,1,,0
40070,,"Jackson (Blue)","",41.878183,-87.629296,1,,1
40080,,"Sheridan","",41.9539048386,-87.6546614127,1,,0
40090,,"Damen (Brown)","",41.966286,-87.678639,1,,1
40100,,"Morse","",42.008362,-87.665909,1,,0
40120,,"35th/Archer","",41.829353,-87.680622,1,,1
40130,,"51st","",41.80209,-87.618487,1,,1
40140,,"Dempster-Skokie","",42.038951,-87.751919,1,,1
40150,,"Pulaski (Pink)","",41.853732,-87.724311,1,,1
40160,,"LaSalle/Van Buren","",41.8768,-87.631739,1,,0
40170,,"Ashland (Green/Pink)","",41.885269,-87.666969,1,,1
40180,,"Oak Park (Blue)","",41.872108,-87.791602,1,,0
40190,,"Sox-35th","",41.831191,-87.630636,1,,1
40200,,"Randolph/Wabash","",41.884431,-87.626149,1,,0
40210,,"Damen (Pink)","",41.854517,-87.675975,1,,1
40220,,"Western (Blue - Forest Park Branch)","",41.875478,-87.688436,1,,0
40230,,"Cumberland","",41.984246,-87.838028,1,,1
40240,,"79th","",41.750419,-87.625112,1,,1
40250,,"Kedzie-Homan","",41.874341,-87.70604,1,,1
40260,,"State/Lake (Loop 'L')","",41.88574,-87.627835,1,,0
40270,,"Main","",42.033456,-87.679538,1,,0
40280,,"Central (Green)","",41.887389,-87.76565,1,,1
40290,,"Ashland/63rd","",41.77886,-87.663766,1,,1
40300,,"Indiana","",41.821732,-87.621371,1,,1
40310,,"Western (Orange)","",41.804546,-87.684019,1,,1
40320,,"Division","",41.903355,-87.666496,1,,0
40330,,"Grand (Red)","",41.891665,-87.628021,1,,0
40340,,"Berwyn","",41.977984,-87.658668,1,,0
40350,,"UIC-Halsted","",41.875474,-87.649707,1,,1
40360,,"Southport","",41.943744,-87.663619,1,,1
40370,,"Washington","",41.883164,-87.62944,1,,0
40380,,"Clark/Lake","",41.885737,-87.630886,1,,1
40390,,"Forest Park","",41.874257,-87.817318,1,,1
40400,,"Noyes","",42.058282,-87.683337,1,,0
40420,,"Cicero (Pink)","",41.85182,-87.745336,1,,1
40430,,"Clinton (Blue)","",41.875539,-87.640984,1,,0
40440,,"California (Pink)","",41.854109,-87.694774,1,,1
40450,,"95th/Dan Ryan","",41.722377,-87.624342,1,,1
40460,,"Merchandise Mart (Brown/Purple)","",41.888969,-87.633924,1,,1
40470,,"Racine","",41.87592,-87.659458,1,,0
40480,,"Cicero (Green)","",41.886519,-87.744698,1,,1
40490,,"Grand (Blue)","",41.891189,-87.647578,1,,0
40510,,"Garfield (Green)","",41.795172,-87.618327,1,,1
40520,,"Foster","",42.05416,-87.68356,1,,0
40530,,"Diversey (Brown/Purple)","",41.932732,-87.653131,1,,1
40540,,"Wilson","",41.965481568,-87.6579258145,1,,0
40550,,"Irving Park (Blue)","",41.952925,-87.729229,1,,0
40560,,"Jackson (Red)","",41.878153,-87.627596,1,,1
40570,,"California (Blue)","",41.9221583097,-87.6972439537,1,,0
40580,,"54th/Cermak","",41.85177331,-87.75669201,1,,1
40590,,"Damen (Blue)","",41.9098452343,-87.6775400139,1,,0
40600,,"Kostner","",41.853751,-87.733258,1,,1
40610,,"Ridgeland","",41.887159,-87.783661,1,,0
40630,,"Clark/Division","",41.90392,-87.631412,1,,1
40650,,"North/Clybourn","",41.910655,-87.649177,1,,0
40660,,"Armitage (Brown/Purple)","",41.918217,-87.652644,1,,1
40670,,"Western (Blue - O'Hare Branch)","",41.916157,-87.687364,1,,1
40680,,"Adams/Wabash","",41.879507,-87.626037,1,,0
40690,,"Dempster","",42.041655,-87.681602,1,,0
40700,,"Laramie","",41.887163,-87.754986,1,,1
40710,,"Chicago (Brown/Purple)","",41.89681,-87.635924,1,,1
40720,,"Cottage Grove","",41.780309,-87.605857,1,,1
40730,,"Washington/Wells","",41.882695,-87.63378,1,,1
40740,,"Western (Pink)","",41.854225,-87.685129,1,,1
40750,,"Harlem (Blue - O'Hare Branch)","",41.98227,-87.8089,1,,1
40760,,"Granville","",41.9944830093,-87.6591866269,1,,1
40770,,"Lawrence","",41.9689762882,-87.6584869372,1,,0
40780,,"Central Park","",41.853839,-87.714842,1,,1
40790,,"Monroe (Blue)","",41.880703,-87.629378,1,,0
40800,,"Sedgwick (Brown/Purple)","",41.910409,-87.639302,1,,1
40810,,"Illinois Medical District","",41.875706,-87.673932,1,,1
40820,,"Rosemont","",41.983507,-87.859388,1,,1
40830,,"18th","",41.857908,-87.669147,1,,1
40840,,"South Boulevard","",42.027612,-87.678329,1,,0
40850,,"Harold Washington Library-State/Van Buren","",41.876862,-87.628196,1,,1
40870,,"Francisco","",41.966046,-87.701644,1,,1
40880,,"Thorndale","",41.9900990857,-87.6590684978,1,,0
40890,,"O'Hare","",41.97766526,-87.90422307,1,,1
40900,,"Howard","",42.019063,-87.672892,1,,1
40910,,"63rd","",41.780536,-87.630952,1,,1
40920,,"Pulaski (Blue)","",41.873797,-87.725663,1,,0
40930,,"Midway","",41.78661,-87.737875,1,,1
40940,,"Halsted (Green)","",41.778943,-87.644244,1,,1
40960,,"Pulaski (Orange)","",41.799756,-87.724493,1,,1
40970,,"Cicero (Blue)","",41.871574,-87.745154,1,,0
40980,,"Harlem (Blue - Forest Park Branch)","",41.87349,-87.806961,1,,0
40990,,"69th","",41.768367,-87.625724,1,,1
41000,,"Cermak-Chinatown","",41.853206,-87.630968,1,,1
41010,,"Rockwell","",41.966115,-87.6941,1,,1
41020,,"Logan Square","",41.9295342259,-87.7076881549,1,,1
41030,,"Polk","",41.871551,-87.66953,1,,1
41040,,"Kedzie (Pink)","",41.853964,-87.705408,1,,1
41050,,"Linden","",42.073153,-87.69073,1,,1
41060,,"Ashland (Orange)","",41.839234,-87.665317,1,,1
41070,,"Kedzie (Green)","",41.884321,-87.706155,1,,1
41080,,"47th (Green)","",41.809209,-87.618826,1,,1
41090,,"Monroe (Red)","",41.880745,-87.627696,1,,0
41120,,"35th-Bronzeville-IIT","",41.831677,-87.625826,1,,1
41130,,"Halsted (Orange)","",41.84678,-87.648088,1,,1
41140,,"King Drive","",41.78013,-87.615546,1,,1
41150,,"Kedzie (Orange)","",41.804236,-87.704406,1,,1
41160,,"Clinton (Green/Pink)","",41.885678,-87.641782,1,,1
41170,,"Garfield (Red)","",41.79542,-87.631157,1,,1
41180,,"Kedzie (Brown)","",41.965996,-87.708821,1,,1
41190,,"Jarvis","",42.0160204165,-87.6692571266,1,,0
41200,,"Argyle","",41.9733220506,-87.6585279483,1,,0
41210,,"Wellington (Brown/Purple)","",41.936033,-87.653266,1,,1
41220,,"Fullerton","",41.9253003719,-87.6528684398,1,,1
41230,,"47th (Red)","",41.810318,-87.63094,1,,1
41240,,"Addison (Blue)","",41.9466037164,-87.7184584172,1,,0
41250,,"Central (Purple)","",42.063987,-87.685617,1,,0
41260,,"Austin (Green)","",41.887293,-87.774135,1,,0
41270,,"43rd","",41.816462,-87.619021,1,,1
41280,,"Jefferson Park Transit Center","",41.9702338623,-87.7615940115,1,,1
41290,,"Kimball","",41.967901,-87.713065,1,,1
41300,,"Loyola","",42.001073,-87.661061,1,,1
41310,,"Paulina","",41.943623,-87.670907,1,,1
41320,,"Belmont (Red/Brown/Purple)","",41.939751,-87.65338,1,,1
41330,,"Montrose (Blue)","",41.9609010454,-87.7429034362,1,,0
41340,,"LaSalle","",41.875568,-87.631722,1,,0
41350,,"Oak Park (Green)","",41.886988,-87.793783,1,,0
41360,,"California (Green)","",41.88422,-87.696234,1,,1
41380,,"Bryn Mawr","",41.983504,-87.65884,1,,0
41400,,"Roosevelt","",41.8673785311,-87.6270314058,1,,1
41410,,"Chicago (Blue)","",41.896075,-87.655214,1,,0
41420,,"Addison (Red)","",41.947316173,-87.6536241013,1,,1
41430,,"87th","",41.735372,-87.624717,1,,1
41440,,"Addison (Brown)","",41.947028,-87.674642,1,,1
41450,,"Chicago (Red)","",41.896671,-87.628176,1,,1
41460,,"Irving Park (Brown)","",41.954521,-87.674868,1,,1
41480,,"Western (Brown)","",41.966163,-87.688502,1,,1
41490,,"Harrison","",41.874039,-87.627479,1,,0
41500,,"Montrose (Brown)","",41.961756,-87.675047,1,,1
41510,,"Morgan (Green/Pink)","",41.88557676,-87.65212993,1,,1
41660,,"Lake (Subway)","",41.884809,-87.627813,1,,1
41670,,"Conservatory-Central Park Drive","",41.884904,-87.716523,1,,1
41680,,"Oakton-Skokie","",42.02624348,-87.74722084,1,,1
41690,,"Cermak-McCormick Place","",41.853115,-87.626402,1,,1
